gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.03,1,0,15,10,3098299.0,1639949.0,3098299,0,0.5293062419088668
0.03,1,1,15,10,3199066.0,1211274.0,3199066,0,0.3786336386932936
0.03,1,2,15,10,2971163.0,1163101.0,2971163,0,0.39146320817807706
0.03,1,3,15,10,3435651.0,1239593.3333333333,3435651,0,0.3608030423734347
0.03,1,4,15,10,2699629.0,1991724.75,2699629,0,0.7377772093869195
0.03,1,5,15,10,3074533.0,1284174.0,3074533,0,0.41768099415423415
0.03,1,6,15,10,2861955.0,559931.0,2861955,0,0.1956463326642103
0.03,1,7,15,10,2886292.0,1617193.9999999998,2886292,0,0.560301591107206
0.03,1,8,15,10,3068359.0,2155075.75,3068359,0,0.7023544995875646
0.03,1,9,15,10,2777998.0,578239.0,2777998,0,0.20814953790463492
0.033,0,0,16,10,2905612.0,1729964.6666666667,2905612,0,0.5953873630294295
0.033,0,1,16,10,2845071.0,1205111.5,2845071,0,0.4235787085805591
0.033,0,2,16,10,2982595.0,1256297.5,2982595,0,0.4212095507435639
0.033,0,3,16,10,2911060.0,1245794.3333333333,2911060,0,0.4279521319839967
0.033,0,4,16,10,2910532.0,2175156.25,2910532,0,0.7473397475100771
0.033,0,5,16,10,3067943.0,1297761.0,3067943,0,0.42300688115783114
0.033,0,6,16,10,2946609.0,644446.0,2946609,0,0.21870767380402353
0.033,0,7,16,10,2754346.0,1707429.0,2754346,0,0.6199035996203818
0.033,0,8,16,10,3000385.0,2280571.5,3000385,0,0.7600929547374754
0.033,0,9,16,10,2917276.0,729292.0,2917276,0,0.2499907447906883
0.033,1,0,16,10,2826874.0,1731837.3333333333,2832903,0,0.6126333658073665
0.033,1,1,16,10,2994758.0,1295556.5,2994758,0,0.43260807718019284
0.033,1,2,16,10,2723093.0,1162149.0,2723093,0,0.42677536169348607
0.033,1,3,16,10,2856946.0,1194780.6666666665,2856946,0,0.4182020474544029
0.033,1,4,16,10,2910820.0,2219373.0,2922888,0,0.7624562837963186
0.033,1,5,16,10,2832572.0,1195273.6666666667,2832572,0,0.42197468119668863
0.033,1,6,16,10,2778999.0,765175.0,2778999,0,0.2753419486656886
0.033,1,7,16,10,2856128.0,1751278.9999999998,2856128,0,0.6131654463665493
0.033,1,8,16,10,2952906.0,2298875.75,2952906,0,0.7785130139598078
0.033,1,9,16,10,2922754.0,728608.0,2922754,0,0.2492881713616678
0.035,0,0,17,10,2776284.0,1684233.3333333333,2776284,0,0.6066502322288834
0.035,0,1,17,10,2821391.0,1317396.0,2821391,0,0.4669313824280293
0.035,0,2,17,10,2687214.0,1265203.5,2687214,0,0.4708234997287153
0.035,0,3,17,10,2984593.0,1290019.0,2984593,0,0.4322261025205112
0.035,0,4,17,10,2784216.0,2151426.75,2790287,0,0.7727226443637993
0.035,0,5,17,10,2935057.0,1436744.0,2935057,0,0.4895114473074969
0.035,0,6,17,10,2862049.0,904042.0,2862049,0,0.3158722998802606
0.035,0,7,17,10,3196244.0,2017938.3333333333,3196244,0,0.631346772440819
0.035,0,8,17,10,2851151.0,2234694.0,2851151,0,0.7837866181061613
0.035,0,9,17,10,2797521.0,765682.0,2797521,0,0.27370017955182463
0.035,1,0,17,10,3219287.0,1995776.3333333333,3219287,0,0.619943587922833
0.035,1,1,17,10,2874881.0,1256479.5,2874881,0,0.43705443807935007
0.035,1,2,17,10,2977864.0,1356439.5,2977864,0,0.45550753828918983
0.035,1,3,17,10,2795351.0,1252757.3333333333,2801356,0,0.44815743473121383
0.035,1,4,17,10,2977230.0,2350615.0,2977230,0,0.7895308726567984
0.035,1,5,17,10,3086083.0,1374053.6666666667,3086083,0,0.4452419674605857
0.035,1,6,17,10,3079365.0,777230.9999999999,3079365,0,0.2523997642371073
0.035,1,7,17,10,2802864.0,1760046.3333333333,2802864,0,0.6279456774689508
0.035,1,8,17,10,2868570.0,2232451.75,2868570,0,0.7782455195445814
0.035,1,9,17,10,3235742.0,861883.9999999999,3235742,0,0.2663636346779193
0.038,0,0,19,10,2886515.0,1977934.0000000002,2886515,0,0.685232538199178
0.038,0,1,19,10,2978096.0,1615684.0000000002,2978096,0,0.5425224707329784
0.038,0,2,19,10,3140118.0,1570185.5,3140118,0,0.5000402851103047
0.038,0,3,19,10,2989344.0,1536915.6666666667,2989344,0,0.5141314170154612
0.038,0,4,19,10,2790402.0,2273671.0,2790402,0,0.8148184383468762
0.038,0,5,19,10,2994493.0,1482227.6666666667,2994493,0,0.4949845154644431
0.038,0,6,19,10,3122319.0,879765.0,3122319,0,0.281766533144115
